year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1990,Charlotte,"Charlotte, NC",455597.0,241.7,62600.012626821124,1374.0216161831866
2000,Charlotte,"Charlotte, NC--SC",758927.0,434.91,112641.17290662299,1484.2161750289947
2010,Charlotte,"Charlotte, NC--SC                                                                                   ",1249442.0,741.49,192045.0283933041,1537.0463646436096
2020,Charlotte,"Charlotte, NC--SC",1379873.0,657.61,170320.2081238057,1234.3179997275524
1950,Milwaukee,Milwaukee,829495.0,101.7,26340.179082117123,317.5447601506594
1960,Milwaukee,Milwaukee,1149957.0,392.0,101527.53392517121,882.8811331655984
1970,Milwaukee,Milwaukee,1252457.0,456.5,118232.95723683841,944.0081155427964
1980,Milwaukee,Milwaukee,1207008.0,496.0,128463.41027266561,1064.312832
1990,Milwaukee,"Milwaukee, WI",1226293.0,512.0,132607.3912492032,1081.367921444575
2000,Milwaukee,"Milwaukee, WI",1308913.0,487.05,126145.3709139149,963.7414473988332
2010,Milwaukee,"Milwaukee, WI                                                                                       ",1376476.0,545.62,141314.93127615284,1026.6429002478274
2020,Milwaukee,"Milwaukee, WI",1306795.0,463.68,120092.56870005967,918.985523361045
1950,Providence,Providence,583346.0,142.6,36933.23045339136,633.1273455786336
1960,Providence,Providence,659542.0,188.0,48691.7764743168,738.2665012132177
1970,Providence,Providence,795311.0,244.1,63221.60977330177,794.9294021244742
1980,Providence,Providence,796250.0,282.0,73037.66471147521,917.2705144298301
1990,Providence,"Providence--Pawtucket, RI--MA",846293.0,298.7,77362.94485573632,914.1390139790393
2000,Providence,"Providence, RI--MA",1174548.0,503.63,130439.57120085198,1110.5512180077098
2010,Providence,"Providence, RI--MA                                                                                  ",1190956.0,545.05,141167.30195386367,1185.3276019757545
2020,Providence,"Providence, RI--MA",1285806.0,544.25,140960.10290503682,1096.278154753025
1950,Jacksonville,Jacksonville,242909.0,50.8,13157.13960050688,541.6489138116282
1960,Jacksonville,Jacksonville,372569.0,111.4,28852.467549143043,774.4194377187324
1970,Jacksonville,Jacksonville,529585.0,351.3,90986.2823161037,1718.067587188151
1980,Jacksonville,Jacksonville,598015.0,431.0,111628.48755548161,1866.6502939806126
1990,Jacksonville,"Jacksonville, FL",738413.0,507.7,131493.69636175872,1780.7608528257047
2000,Jacksonville,"Jacksonville, FL",882295.0,410.52,106324.19190551348,1205.0866422853294
2010,Jacksonville,"Jacksonville, FL                                                                                    ",1065219.0,530.36,137362.6094197801,1289.5245899648814
2020,Jacksonville,"Jacksonville, FL",1247374.0,573.27,148476.2484012319,1190.3105917009004
1950,Salt Lake City,Salt Lake City,227368.0,76.1,19709.80951965696,866.8682277038528
1960,Salt Lake City,Salt Lake City,348661.0,131.7,34110.14341312512,978.3182923563324
1990,Salt Lake City,"Salt Lake City, UT",789447.0,254.1,65811.59788363776,833.6417502839046
