Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
10945,"Brownsville, TN","9,621","19,132,118",7.39,0.00,0.00
10972,"Brownsville, TX","216,444","160,844,426",62.10,"6,262,482",2.42
10999,"Brownwood, TX","21,562","35,064,966",13.54,0.00,0.00
11026,"Brunswick--St. Simons, GA","68,750","152,826,893",59.01,"3,458,577",1.34
11040,"Brunswick, ME","31,361","69,300,445",26.76,"4,009,090",1.55
11053,"Brunswick, MD","8,269","9,426,826",3.64,"5,156",0.00
11080,"Brush, CO","5,568","6,527,711",2.52,0.00,0.00
11107,"Bryan, OH","9,238","13,146,751",5.08,"18,376",0.01
11127,"Buchanan, MI","5,640","10,749,925",4.15,"136,037",0.05
11134,"Buckeye, AZ","23,897","20,154,863",7.78,0.00,0.00
11139,"Buckeye North, AZ","6,796","7,276,729",2.81,0.00,0.00
11161,"Buckhannon, WV","8,547","16,862,809",6.51,0.00,0.00
11215,"Bucyrus, OH","11,772","17,757,877",6.86,"1,247",0.00
11235,"Buellton, CA","5,161","4,125,973",1.59,"1,684",0.00
11242,"Buena Vista, CO","5,038","13,308,287",5.14,"88,623",0.03
11269,"Buena Vista, VA","6,603","10,478,258",4.05,"1,846",0.00
11296,"Buffalo, MN","16,439","21,188,068",8.18,"3,132,787",1.21
11350,"Buffalo, NY","948,864","881,897,337",340.50,"7,944,757",3.07
11377,"Buffalo, WY","4,516","8,502,865",3.28,"1,106",0.00
11420,"Buies Creek--Lillington, NC","7,391","18,495,972",7.14,"111,755",0.04
11431,"Bullhead City, AZ--NV","54,396","91,669,615",35.39,"1,447,784",0.56
11593,"Burkburnett, TX","10,449","16,787,734",6.48,0.00,0.00
11620,"Burley, ID","17,741","24,724,005",9.55,"1,800,922",0.70
11674,"Burlington, IA--IL","28,447","54,690,492",21.12,"226,333",0.09
11728,"Burlington, NC","145,311","238,325,399",92.02,"2,050,931",0.79
11755,"Burlington, VT","118,032","160,616,181",62.01,"2,579,671",1.00
11782,"Burlington, WI","24,086","32,916,138",12.71,"3,193,675",1.23
11809,"Burnet, TX","5,001","9,249,642",3.57,"53,670",0.02
11863,"Burns, OR","4,169","7,820,019",3.02,0.00,0.00
11872,"Burnt Store Marina, FL","4,191","11,047,450",4.27,"825,900",0.32
11890,"Bushnell, FL","3,664","7,310,388",2.82,0.00,0.00
11998,"Butler, PA","37,954","73,718,593",28.46,"382,000",0.15
12052,"Butte-Silver Bow, MT","30,258","39,593,452",15.29,0.00,0.00
12079,"Byron, IL","5,625","8,606,615",3.32,"672,655",0.26
12106,"Byron, MN","6,341","7,995,614",3.09,0.00,0.00
12160,"Cadillac, MI","12,208","28,133,532",10.86,"5,038,611",1.95
12241,"Cairo, GA","10,346","20,753,105",8.01,"230,628",0.09
12430,"Calexico, CA","38,491","14,011,734",5.41,0.00,0.00
12457,"Calhoun, GA","23,066","52,812,371",20.39,"143,355",0.06
12538,"California--Brownsville, PA","10,185","15,670,451",6.05,"1,275,094",0.49
12646,"Calistoga, CA","5,173","5,924,115",2.29,"46,827",0.02
12655,"Calumet, MI","5,112","6,433,208",2.48,"36,824",0.01
12754,"Camarillo, CA","76,338","58,220,217",22.48,"42,884",0.02
12781,"Cambria, CA","5,478","7,082,942",2.73,0.00,0.00
12808,"Cambridge, MD","14,978","22,406,432",8.65,"361,745",0.14
12835,"Cambridge, MN","10,128","15,386,802",5.94,"590,016",0.23
12862,"Cambridge, OH","14,427","28,426,819",10.98,"128,898",0.05
12916,"Camden, AR","9,873","28,620,569",11.05,0.00,0.00
12943,"Camden, ME","4,660","10,532,475",4.07,"307,306",0.12
13010,"Camden--Lugoff, SC","30,655","89,711,864",34.64,"666,897",0.26
13024,"Camdenton, MO","5,849","22,974,321",8.87,0.00,0.00
13051,"Cameron, MO","8,450","11,673,085",4.51,"84,707",0.03
13078,"Cameron, TX","5,151","9,070,934",3.50,0.00,0.00
13132,"Camilla, GA","5,270","12,286,059",4.74,"34,608",0.01
13159,"Campbellsville, KY","12,789","21,990,766",8.49,"308,844",0.12
13170,"Camp Verde, AZ","5,759","13,472,196",5.20,0.00,0.00
13186,"Canajoharie--Fort Plain, NY","5,278","10,409,101",4.02,"374,306",0.14
13213,"Canandaigua, NY","18,049","33,853,136",13.07,"106,257",0.04
13217,"Canastota, NY","5,616","9,753,228",3.77,"13,771",0.01
13221,"Canby, OR","19,055","15,275,091",5.90,"4,632",0.00
13267,"Cañon City, CO","24,737","41,230,887",15.92,"31,525",0.01
13294,"Canton, IL","13,177","14,045,059",5.42,0.00,0.00
13321,"Canton, MS","26,257","61,401,387",23.71,"4,007,630",1.55
13348,"Canton, NY","6,812","5,744,799",2.22,"237,068",0.09
13361,"Canton, NC","8,812","22,978,340",8.87,"16,069",0.01
13375,"Canton, OH","295,319","466,699,663",180.19,"3,240,890",1.25
13456,"Canyon, TX","16,171","18,970,245",7.32,"67,565",0.03
13483,"Canyon Lake, TX","7,918","23,917,432",9.23,"39,897",0.02
13510,"Cape Coral, FL","599,242","859,359,686",331.80,"101,715,750",39.27
13537,"Cape Girardeau, MO--IL","55,546","80,851,552",31.22,"121,519",0.05
13564,"Carbondale, CO","7,361","6,832,951",2.64,0.00,0.00
13591,"Carbondale, IL","31,488","56,111,366",21.66,"1,285,073",0.50
13699,"Carlinville, IL","5,602","7,737,210",2.99,0.00,0.00
13807,"Carlsbad, NM","34,442","50,439,506",19.47,"658,851",0.25
13861,"Carmi, IL","5,067","6,856,255",2.65,"52,256",0.02
13915,"Caro, MI","5,383","11,767,016",4.54,0.00,0.00
13969,"Carrizo Springs, TX","5,615","10,973,849",4.24,"32,947",0.01
13996,"Carroll, IA","10,150","12,863,981",4.97,0.00,0.00
14023,"Carrollton, GA","38,385","89,140,581",34.42,"1,613,880",0.62
